symbol,spot_price,spot_price_chg_pct,total_traded_vol,delivery_vol_pct,futures_ltp,futures_price_chg_pct,futures_oi,futures_oi_prev,futures_oi_chg_pct,futures_buildup,pcr_ratio,imm_resistance_strike,imm_resistance_strength,imm_resistance_rating,imm_resistance_buildup,imm_support_strike,imm_support_strength,imm_support_rating,imm_support_buildup,global_ce_wall,global_pe_wall,max_pain,risk_flag_code,risk_alert_title,risk_description
AARTIIND,495.95,-0.71,875805,38.05%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
ABB,7506,-0.35,212131,31.30%,7556.5,-0.07,2362125,2352625,0.4,Short Buildup,0.633,7550.0,0,WEAK,–,7500.0,49,WEAK,–,8000.0,7200.0,7400.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 7500.0 (WEAK) | Resistance at 7550.0 (WEAK).
ABCAPITAL,400.6,-2.07,4736082,52.96%,399.85,-2.25,36657500,36223500,1.2,Short Buildup,0.545,405.0,89,STRONG,Short Buildup,400.0,85,STRONG,–,410.0,400.0,400.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 400.0 – 405.0.
ABFRL,57.05,-0.63,3015586,61.73%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
ACC,1359,-2.08,104453,44.97%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
ADANIENT,3147.7,-1.1,977224,43.02%,3141.4,-1.5,16414698,16106934,1.91,Short Buildup,0.555,3150.0,82,STRONG,Short Buildup,3140.0,69,MODERATE,Long Buildup,3200.0,3100.0,3100.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 3140.0 – 3150.0.
ADANIGREEN,1472.3,-4.51,3809107,27.31%,1469.1,-4.76,24236400,22942800,5.64,Short Buildup,0.909,1480.0,50,MODERATE,–,1470.0,53,MODERATE,–,1600.0,1400.0,1520.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 1470.0 (MODERATE) | Resistance at 1480.0 (MODERATE).
ADANIPORTS,1819.4,-1.47,1436881,49.62%,1820.5,-1.43,17247250,16992650,1.5,Short Buildup,0.634,1820.0,84,STRONG,–,1800.0,66,MODERATE,–,1900.0,1700.0,1820.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 1800.0 – 1820.0.
ADANITRANS,0,0.0,–,–,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
AMBUJACEM,430.8,-2.28,1257009,36.51%,429.8,-2.55,75492000,74568000,1.24,Short Buildup,0.461,435.0,94,STRONG,Short Buildup,430.0,70,MODERATE,Long Buildup,440.0,430.0,435.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 430.0 – 435.0.
APLAPOLLO,1822.9,0.18,340199,60.50%,1820.8,0.12,5702550,5700800,0.03,Long Buildup,0.784,1840.0,90,STRONG,–,1820.0,71,MODERATE,–,1900.0,1700.0,1800.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 1820.0 – 1840.0.
APOLLOHOSP,8938,0.13,158324,68.59%,8935.0,-0.17,2044625,1986000,2.95,Short Buildup,0.645,9000.0,93,STRONG,Short Buildup,8900.0,77,MODERATE,Short Buildup,9000.0,8700.0,8850.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 8900.0 – 9000.0.
ASHOKLEY,152.49,-0.94,8774983,41.07%,151.96,-1.27,149285000,146015000,2.24,Short Buildup,0.697,152.5,75,MODERATE,–,150.0,91,STRONG,–,170.0,150.0,160.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 150.0 – 152.5.
ASIANPAINT,2692.8,0.01,528096,52.92%,2690.7,-0.08,7049500,7031000,0.26,Short Buildup,0.783,2700.0,74,MODERATE,–,2680.0,58,MODERATE,–,2700.0,2400.0,2680.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 2680.0 (MODERATE) | Resistance at 2700.0 (MODERATE).
ASTRAL,1430.8,1.11,716968,46.65%,1409.2,0.81,8063950,7767300,3.82,Long Buildup,0.558,1440.0,84,STRONG,–,1420.0,25,WEAK,–,1500.0,1300.0,1400.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 1420.0 (WEAK) | Resistance at 1440.0 (STRONG).
ATGL,681.6,-2.68,2120537,23.72%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
AUROPHARMA,1533.6,-2.92,2357447,49.66%,1532.8,-2.93,9636000,9178400,4.99,Short Buildup,0.468,1540.0,84,STRONG,–,1520.0,70,MODERATE,–,1620.0,1500.0,1540.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 1520.0 – 1540.0.
AXISBANK,1238.4,-1.57,8358923,77.87%,1235.7,-2.05,65720000,65191875,0.81,Short Buildup,0.753,1240.0,55,MODERATE,–,1230.0,100,STRONG,–,1300.0,1220.0,1280.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 1230.0 (STRONG) | Resistance at 1240.0 (MODERATE).
BAJAJ-AUTO,10998.5,5.72,1448948,37.29%,11030.0,5.58,2630100,2445750,7.54,Long Buildup,0.969,11000.0,75,MODERATE,–,10900.0,72,MODERATE,–,11000.0,10500.0,10700.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 10900.0 (MODERATE) | Resistance at 11000.0 (MODERATE).
BAJAJFINSV,1876.4,-1.27,1023902,64.44%,1877.8,-1.13,9612600,9499800,1.19,Short Buildup,0.689,1880.0,60,MODERATE,–,1860.0,72,MODERATE,–,1900.0,1700.0,1860.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 1860.0 (MODERATE) | Resistance at 1880.0 (MODERATE).
BAJFINANCE,1060.3,-0.83,6757716,72.94%,1056.5,-1.21,66288750,64536750,2.71,Short Buildup,0.721,1070.0,91,STRONG,–,1060.0,45,WEAK,–,1100.0,1000.0,1030.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 1060.0 (WEAK) | Resistance at 1070.0 (STRONG).
BALKRISIND,2014.7,-1.12,260388,56.85%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
BANDHANBNK,173.5,-16.92,156943419,33.54%,173.65,-16.5,97959600,74502000,31.49,Short Buildup,0.809,175.0,78,MODERATE,–,172.5,100,STRONG,–,180.0,170.0,185.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 172.5 – 175.0.
BANKNIFTY,57126.8,-1.23,–,–,57174.6,-1.37,2071350,2026740,2.2,Short Buildup,0.854,57200.0,53,MODERATE,–,57100.0,51,MODERATE,–,59000.0,57000.0,57900.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 57100.0 (MODERATE) | Resistance at 57200.0 (MODERATE).
BATAINDIA,694.4,-0.64,113889,48.78%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
BEL,406.75,-0.8,6665967,59.27%,407.3,-0.69,90128400,89621100,0.57,Short Buildup,0.638,410.0,83,STRONG,–,405.0,83,STRONG,–,420.0,400.0,415.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 405.0 – 410.0.
BERGEPAINT,496.45,-1.96,137867,36.61%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
BHARTIARTL,1949,0.03,6589708,80.80%,1930.4,0.18,32908475,32100025,2.52,Long Buildup,0.456,1960.0,96,STRONG,–,1940.0,17,WEAK,–,1960.0,1900.0,1900.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 1940.0 (WEAK) | Resistance at 1960.0 (STRONG).
BHEL,416.45,0.76,11711567,39.51%,416.0,0.57,77437500,76198500,1.63,Long Buildup,0.636,417.5,53,MODERATE,–,415.0,46,WEAK,–,440.0,400.0,415.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 415.0 (WEAK) | Resistance at 417.5 (MODERATE).
BIOCON,437.95,-0.53,6102889,50.54%,438.6,-0.5,48665000,47790000,1.83,Short Buildup,0.648,440.0,87,STRONG,–,435.0,65,MODERATE,–,450.0,390.0,430.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 435.0 – 440.0.
BLUESTARCO,1660.7,-2.47,135607,34.35%,1654.5,-2.68,3264950,2918500,11.87,Short Buildup,0.84,1680.0,78,MODERATE,–,1660.0,45,WEAK,–,2000.0,1600.0,1660.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 1660.0 (WEAK) | Resistance at 1680.0 (MODERATE).
BPCL,314,-1.68,9784696,42.73%,309.2,-3.25,43880550,41109625,6.74,Short Buildup,0.94,315.0,81,STRONG,–,310.0,64,MODERATE,–,320.0,300.0,310.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 310.0 – 315.0.
BRITANNIA,5485.5,0.06,156506,58.09%,5506.5,0.5,2124750,2124750,0.0,Flat,0.573,5500.0,66,MODERATE,–,5450.0,48,WEAK,–,5700.0,4800.0,5350.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 5450.0 (WEAK) | Resistance at 5500.0 (MODERATE).
CENTURYTEX,0,0.0,–,–,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
CESC,164.44,-0.38,446044,58.29%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
CHAMBLFERT,435.75,-0.8,241623,53.57%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
CHOLAFIN,1728,-1.75,923087,53.59%,1731.5,-1.8,14482500,13650000,6.1,Short Buildup,0.707,1740.0,74,MODERATE,–,1720.0,96,STRONG,–,1840.0,1700.0,1800.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 1720.0 – 1740.0.
CIPLA,1415.1,-1.21,1722239,58.71%,1411.5,-1.42,13293150,12891950,3.11,Short Buildup,0.79,1420.0,48,WEAK,–,1410.0,53,MODERATE,–,1500.0,1400.0,1450.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 1410.0 (MODERATE) | Resistance at 1420.0 (WEAK).
COALINDIA,428.4,-0.66,5625202,58.07%,429.3,-0.64,70668450,63460800,11.36,Short Buildup,0.666,430.0,83,STRONG,–,425.0,75,MODERATE,–,440.0,400.0,435.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 425.0 (MODERATE) | Resistance at 430.0 (STRONG).
COFORGE,1471.4,-1.51,1016082,48.60%,1471.8,-1.64,17935050,17929350,0.03,Short Buildup,0.51,1480.0,62,MODERATE,–,1460.0,65,MODERATE,–,1500.0,1400.0,1480.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 1460.0 (MODERATE) | Resistance at 1480.0 (MODERATE).
CONCOR,481.4,-2.08,905534,49.90%,482.85,-1.8,17986250,17891250,0.53,Short Buildup,0.787,485.0,43,WEAK,–,480.0,60,MODERATE,–,500.0,460.0,480.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 480.0 (MODERATE) | Resistance at 485.0 (WEAK).
COROMANDEL,2039.3,-0.73,59854,44.77%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
CROMPTON,255.7,-1.04,3784342,54.58%,253.45,-0.88,54418650,54023050,0.73,Short Buildup,0.555,257.5,88,STRONG,–,255.0,39,WEAK,–,275.0,240.0,265.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 255.0 (WEAK) | Resistance at 257.5 (STRONG).
CUMMINSIND,5586,0.05,322364,56.82%,5596.0,0.13,4820000,4547400,5.99,Long Buildup,0.669,5600.0,70,MODERATE,–,5550.0,85,STRONG,–,5700.0,5200.0,5550.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 5550.0 (STRONG) | Resistance at 5600.0 (MODERATE).
DABUR,426.5,0.09,897737,43.53%,426.9,0.21,29731250,29260000,1.61,Long Buildup,0.689,430.0,83,STRONG,–,425.0,77,MODERATE,–,450.0,400.0,435.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 425.0 – 430.0.
DEEPAKNTR,1696,-0.72,95795,47.17%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
DIVISLAB,7386.5,0.77,371324,55.21%,7350.0,0.48,3824100,3721600,2.75,Long Buildup,0.594,7400.0,88,STRONG,–,7350.0,0,WEAK,–,7500.0,6650.0,7100.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 7350.0 (WEAK) | Resistance at 7400.0 (STRONG).
DIXON,13882,-1.67,417536,21.11%,13834.0,-1.36,2287300,2233700,2.4,Short Buildup,0.545,13900.0,100,STRONG,–,13800.0,50,MODERATE,–,14500.0,13000.0,13500.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 13800.0 (MODERATE) | Resistance at 13900.0 (STRONG).
DLF,651.5,-3.29,3637181,40.50%,645.5,-3.06,38701100,38699200,0.0,Short Buildup,0.614,655.0,53,MODERATE,–,650.0,60,MODERATE,–,680.0,650.0,650.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 650.0 (MODERATE) | Resistance at 655.0 (MODERATE).
